"","...1","game_str","play_per_game","success","play_id","...6","game_id","timestamp","player_position","event_code","pop_time","velocity_m_per_s"
"42",42,"1903_01_TeamNE_TeamA2",302,0,301,85,62,10024149,6,2,0.594,35.5504536548015
"43",43,"1903_05_TeamND_TeamA2",114,1,114,87,66,3324362,6,2,0.6,35.7289907818705
"44",44,"1903_07_TeamND_TeamA2",102,0,101,91,68,2934773,6,2,0.8,30.2401289851856
"45",45,"1903_08_TeamNJ_TeamB",92,0,91,93,69,3087417,6,2,0.85,29.9288648328186
"46",46,"1903_09_TeamNJ_TeamB",84,0,83,94,70,3033115,6,2,0.8,37.8210884959608
"47",47,"1903_09_TeamNJ_TeamB",105,0,104,95,70,3823665,6,2,1.7,38.5381943441558
"48",48,"1903_09_TeamNJ_TeamB",114,0,113,96,70,4158215,6,2,1,37.5786068108706
"49",49,"1903_09_TeamNJ_TeamB",212,0,209,97,70,8077165,6,2,0.65,39.4189318048803
"50",50,"1903_11_TeamNC_TeamA1",118,0,117,100,72,9355486,6,2,0.7,35.0597516865078
"51",51,"1903_13_TeamNG_TeamA3",215,0,215,103,74,7249034,6,2,0.65,32.9115949770498
"52",52,"1903_14_TeamNG_TeamA3",69,0,69,104,75,2221301,6,2,0.65,34.7180816714594
"53",53,"1903_14_TeamNG_TeamA3",106,0,106,105,75,4281782,6,2,0.7,34.8281114393256
"54",54,"1903_14_TeamNG_TeamA3",173,0,173,106,75,6753921,6,2,0.65,34.5318471531048
"55",55,"1903_19_TeamNL_TeamB",26,0,25,110,80,778451,6,2,1.4,30.6930920580703
"56",56,"1903_19_TeamNL_TeamB",42,0,41,111,80,1227751,6,2,0.65,30.9063190503784
"57",57,"1903_20_TeamNL_TeamB",234,0,232,113,81,7921666,6,2,1.05,30.0135333511861
"58",58,"1903_25_TeamNH_TeamA3",249,0,248,119,86,8952761,6,2,1.8,33.1052465681355
"59",59,"1903_25_TeamNK_TeamB",62,0,60,121,87,2169765,6,2,0.7,28.2625652941228
"60",60,"1903_25_TeamNK_TeamB",62,0,60,122,87,2172015,6,2,0.7,28.2625652941228
"61",61,"1903_25_TeamNK_TeamB",119,0,114,123,87,4192815,6,2,0.7,NA
"62",62,"1903_27_TeamNK_TeamB",167,0,167,124,91,6032487,6,2,0.66,NA
"63",63,"1903_29_TeamNF_TeamA2",79,0,79,128,93,2593429,6,2,0.75,29.9566397978161
"64",64,"1903_30_TeamNF_TeamA2",195,1,195,134,95,6085647,6,2,0.65,32.4246752343955
"65",65,"1903_31_TeamNB_TeamA1",25,1,25,135,96,825792,6,2,0.8,32.3523660584028
