"","game_str","game_id","play_id","timestamp","player_position","event_code","pop_time"
"47","1902_11_TeamMI_TeamA3",38,25,748252,6,2,0.7
"48","1902_11_TeamMI_TeamA3",38,205,6869102,6,2,0.7
"49","1902_12_TeamMI_TeamA3",39,61,1944654,4,2,0.7
"50","1902_13_TeamMD_TeamA2",40,86,3134580,4,2,0.7
"51","1902_13_TeamMK_TeamB",41,66,2387060,4,2,0.65
"52","1902_14_TeamMD_TeamA2",42,306,10466365,6,2,0.55
"53","1902_16_TeamMD_TeamA2",45,49,1567873,6,2,0.8
"54","1902_16_TeamMD_TeamA2",45,198,6676816,6,2,0.75
"55","1902_17_TeamMB_TeamA1",46,184,6503768,4,2,0.7
"56","1902_18_TeamMB_TeamA1",47,187,6781604,6,2,0.95
"57","1902_19_TeamME_TeamA2",48,34,1005252,6,2,0.75
"58","1902_20_TeamME_TeamA2",49,146,5237528,4,2,0.75
"59","1902_20_TeamME_TeamA2",49,146,5244978,6,2,0.75
"60","1902_20_TeamME_TeamA2",49,204,7672028,6,2,0.65
"61","1902_21_TeamME_TeamA2",50,16,375358,4,2,0.75
"62","1902_21_TeamME_TeamA2",50,172,6124808,6,2,0.75
"63","1902_22_TeamMA_TeamA1",51,117,4073690,6,2,0.75
"64","1902_23_TeamMA_TeamA1",52,80,2463238,6,2,0.65
"65","1902_23_TeamMA_TeamA1",52,99,3242588,4,2,0.8
"66","1902_23_TeamMA_TeamA1",52,240,8678388,4,2,0.5
"67","1902_24_TeamMA_TeamA1",53,34,925643,4,2,0.693
"68","1902_24_TeamMA_TeamA1",53,198,6684764,6,2,1.122
"69","1902_24_TeamMA_TeamA1",53,339,11799538,4,2,0.726
"70","1902_26_TeamMC_TeamA1",55,241,8483627,4,2,0.7
"71","1902_26_TeamMH_TeamA3",56,71,2315256,6,2,0.7
"72","1902_26_TeamMH_TeamA3",56,122,3835406,4,2,5.65
"73","1902_26_TeamMH_TeamA3",56,135,4288006,6,2,0.6
"74","1902_26_TeamMH_TeamA3",56,196,6514356,6,2,0.7
"75","1902_27_TeamMH_TeamA3",57,21,761872,6,2,0.7
"76","1902_27_TeamMH_TeamA3",57,88,3059272,6,2,0.8
"77","1902_28_TeamMC_TeamA1",58,147,5485355,6,2,0.75
"78","1902_29_TeamMF_TeamA2",59,226,8763760,4,2,0.6
"79","1902_29_TeamMF_TeamA2",59,226,8756060,6,2,0.6
"80","1902_30_TeamMF_TeamA2",60,114,3609679,6,2,0.65
"81","1902_31_TeamMF_TeamA2",61,101,2898396,4,2,0.55
"82","1903_01_TeamNE_TeamA2",62,229,7418170,4,2,0.561
"83","1903_01_TeamNE_TeamA2",62,259,8545286,4,2,0.561
"84","1903_01_TeamNE_TeamA2",62,284,9427509,4,2,0.627
"85","1903_01_TeamNE_TeamA2",62,301,10024149,6,2,0.594
"86","1903_05_TeamND_TeamA2",66,78,2202262,4,2,0.8
"87","1903_05_TeamND_TeamA2",66,114,3324362,6,2,0.6
"88","1903_06_TeamND_TeamA2",67,15,302024,4,2,0.7
"89","1903_06_TeamND_TeamA2",67,141,4571374,4,2,0.7
"90","1903_07_TeamND_TeamA2",68,57,1587673,4,2,0.7
"91","1903_07_TeamND_TeamA2",68,101,2934773,6,2,0.8
"92","1903_07_TeamND_TeamA2",68,168,4947073,4,2,0.6
"93","1903_08_TeamNJ_TeamB",69,91,3087417,6,2,0.85
"94","1903_09_TeamNJ_TeamB",70,83,3033115,6,2,0.8
"95","1903_09_TeamNJ_TeamB",70,104,3823665,6,2,1.7
"96","1903_09_TeamNJ_TeamB",70,113,4158215,6,2,1
"97","1903_09_TeamNJ_TeamB",70,209,8077165,6,2,0.65
"98","1903_10_TeamNJ_TeamB",71,49,1677489,4,2,0.6
"99","1903_11_TeamNC_TeamA1",72,114,9270786,4,2,0.65
"100","1903_11_TeamNC_TeamA1",72,117,9355486,6,2,0.7
"101","1903_12_TeamNC_TeamA1",73,136,4556104,4,2,0.5
"102","1903_12_TeamNC_TeamA1",73,178,6282754,4,2,0.85
"103","1903_13_TeamNG_TeamA3",74,215,7249034,6,2,0.65
"104","1903_14_TeamNG_TeamA3",75,69,2221301,6,2,0.65
"105","1903_14_TeamNG_TeamA3",75,106,4281782,6,2,0.7
"106","1903_14_TeamNG_TeamA3",75,173,6753921,6,2,0.65
"107","1903_15_TeamNG_TeamA3",76,138,4506369,4,2,0.7
"108","1903_16_TeamNI_TeamA3",77,212,6684018,4,2,0.65
"109","1903_18_TeamNI_TeamA3",79,14,321316,6,2,0.95
"110","1903_19_TeamNL_TeamB",80,25,778451,6,2,1.4
"111","1903_19_TeamNL_TeamB",80,41,1227751,6,2,0.65
"112","1903_20_TeamNL_TeamB",81,149,4951166,4,2,0.5
"113","1903_20_TeamNL_TeamB",81,232,7921666,6,2,1.05
"114","1903_20_TeamNL_TeamB",81,240,8212516,4,2,2.1
"115","1903_22_TeamNA_TeamA1",83,64,1685363,4,2,0.65
"116","1903_22_TeamNA_TeamA1",83,139,3939913,4,2,0.65
"117","1903_22_TeamNA_TeamA1",83,187,5633763,4,2,1.95
"118","1903_23_TeamNA_TeamA1",84,137,4334644,4,2,0.75
"119","1903_25_TeamNH_TeamA3",86,248,8952761,6,2,1.8
"120","1903_25_TeamNK_TeamB",87,42,1475465,4,2,0.7
"121","1903_25_TeamNK_TeamB",87,60,2169765,6,2,0.7
"122","1903_25_TeamNK_TeamB",87,60,2172015,6,2,0.7
"123","1903_25_TeamNK_TeamB",87,114,4192815,6,2,0.7
"124","1903_27_TeamNK_TeamB",91,167,6032487,6,2,0.66
"125","1903_28_TeamNF_TeamA2",92,164,5607201,6,2,1.35
"126","1903_29_TeamNF_TeamA2",93,20,493604,4,2,0.65
"127","1903_29_TeamNF_TeamA2",93,29,882504,6,2,0.75
"128","1903_29_TeamNF_TeamA2",93,79,2593429,6,2,0.75
"129","1903_29_TeamNF_TeamA2",93,122,4124521,6,2,0.6
"130","1903_29_TeamNF_TeamA2",93,159,5164571,4,2,0.65
"131","1903_30_TeamNB_TeamA1",94,179,6002971,4,2,0.65
"132","1903_30_TeamNF_TeamA2",95,77,2211547,4,2,0.65
"133","1903_30_TeamNF_TeamA2",95,96,2772147,4,2,0.65
"134","1903_30_TeamNF_TeamA2",95,195,6085647,6,2,0.65
"135","1903_31_TeamNB_TeamA1",96,25,825792,6,2,0.8
