"","game_str","play_per_game","success","play_id","...1","game_id","timestamp","field_x","field_y","distance_from_1st_base_ft"
"40","1902_26_TeamMH_TeamA3",71,0,71,66,56,2313306,39.7626,91.4877,36.1161293890971
"41","1902_26_TeamMH_TeamA3",135,0,135,67,56,4286256,39.1197,87.7386,33.7580554245946
"42","1903_01_TeamNE_TeamA2",302,0,301,76,62,10022268,55.8084,73.0986,11.7383924163405
"43","1903_05_TeamND_TeamA2",114,1,114,78,66,3322462,55.3614,72.9792,11.9146942302352
"44","1903_07_TeamND_TeamA2",102,0,101,82,68,2932673,41.4825,84.186,29.5782034993676
"45","1903_08_TeamNJ_TeamB",92,0,91,84,69,3085267,42.8823,84.6897,28.9519054188148
"46","1903_09_TeamNJ_TeamB",84,0,83,85,70,3031065,57.4329,72.3354,10.1974494639591
"47","1903_09_TeamNJ_TeamB",105,0,104,86,70,3820765,58.4544,70.7493,8.3114582264486
"48","1903_09_TeamNJ_TeamB",114,0,113,87,70,4155915,55.4664,74.1249,12.7722249028899
"49","1903_09_TeamNJ_TeamB",212,0,209,88,70,8075315,58.8492,74.0127,11.0854527165109
"50","1903_11_TeamNC_TeamA1",118,0,117,91,72,9353686,43.8246,85.8516,29.1874039222402
"51","1903_13_TeamNG_TeamA3",215,0,215,93,74,7247184,43.8219,86.1207,29.3944468241877
"52","1903_14_TeamNG_TeamA3",69,0,69,94,75,2219551,52.8876,79.4811,18.6656028825752
"53","1903_14_TeamNG_TeamA3",106,0,106,NA,NA,NA,NA,NA,NA
"54","1903_14_TeamNG_TeamA3",173,0,173,95,75,6752521,41.9616,85.044,29.8446755479097
"55","1903_19_TeamNL_TeamB",26,0,25,97,80,775751,47.4246,81.4101,23.4723443049475
"56","1903_19_TeamNL_TeamB",42,0,41,NA,NA,NA,NA,NA,NA
"57","1903_20_TeamNL_TeamB",234,0,232,99,81,7919316,45.6381,81.5418,24.7716350459553
"58","1903_25_TeamNH_TeamA3",249,0,248,104,86,8949761,52.9197,80.7792,19.7631900443729
"59","1903_25_TeamNK_TeamB",62,0,60,106,87,2167665,43.428,84.099,28.1477690945482
"60","1903_25_TeamNK_TeamB",119,0,114,107,87,4185015,41.2212,85.5981,30.7583819641086
"61","1903_27_TeamNK_TeamB",167,0,167,108,91,6035259,-9.1191,5.5254,92.4332826960614
"62","1903_29_TeamNF_TeamA2",79,0,79,111,93,2591379,42.5895,85.3683,29.6473960262955
"63","1903_30_TeamNF_TeamA2",195,1,195,117,95,6083797,41.3184,84.1884,29.6981304650646
"64","1903_31_TeamNB_TeamA1",25,1,25,118,96,823792,44.8143,82.5045,26.0368490555213
